scheme,agency,description,image,link,who_is_it_for,what_it_gives,scheme_type,search_booster,phone,email,address,how_to_apply
Enhancement for Active Seniors (EASE),Housing and Development Board (HDB),"The EASE programme subsidises items installed in your flat to improve mobility and safety within the flat. It is offered as part of the Home Improvement Programme (HIP).
If your block does not qualify for HIP or if you wish to install the improvement items earlier instead of waiting for HIP, you may apply under EASE (Direct Application).",https://chidnast.sirv.com/SchemesSG/hdb.jpg,https://www.hdb.gov.sg/residential/living-in-an-hdb-flat/for-our-seniors/ease,Elderly,Retrofitting of flats to improve mobility for elderly,"Housing,Elderly","Disabled, elderly, home, renovation, retrofitting, accessibility",,,,
CPF Housing Grants for Resale Flats,"Housing and Development Board (HDB), Central Provident Fund (CPF)","Under the CPF Housing Grant Scheme, you may be eligible to receive a housing subsidy of up to $80,000 to help with the purchase of a resale flat.",https://chidnast.sirv.com/SchemesSG/hdb-cpf.jpg,https://www.hdb.gov.sg/residential/buying-a-flat/understanding-your-eligibility-and-housing-loan-options/flat-and-grant-eligibility/couples-and-families/cpf-housing-grants-for-resale-flats-families,In need of mortgage support,Mortgage assistance,Housing,"HDB grants, HDB flat, home owner, BTO, mortgage",,,,
CPF Housing Grants for Executive Condominiums (ECs),"Housing and Development Board (HDB), Central Provident Fund (CPF)","Under the CPF Housing Grant Scheme, you may be eligible to receive a housing subsidy of up to $30,000 when you buy an Executive Condominium (EC) unit from a property developer.",https://chidnast.sirv.com/SchemesSG/hdb-cpf.jpg,https://www.hdb.gov.sg/residential/buying-a-flat/executive-condominium/cpf-housing-grants,In need of mortgage support,Mortgage assistance,Housing,"HDB grants, condo, condominium, mortgage",,,,
CPF Housing Grants for HDB Flats,"Housing and Development Board (HDB), Central Provident Fund (CPF)","On top of the subsidised purchase prices for new HDB flats, eligible buyers can also receive further subsidies in the form of CPF Housing Grants of up to $80,000.",https://chidnast.sirv.com/SchemesSG/hdb-cpf.jpg,https://www.hdb.gov.sg/cs/infoweb/residential/buying-a-flat/new/schemes-and-grants/cpf-housing-grants-for-hdb-flats,In need of mortgage support,Mortgage assistance,Housing,"HDB grants, HDB flat, home owner, BTO, mortgage",,,,
Non-Citizen Spouse Scheme,Housing Development Board (HDB),"If you are a citizen with a spouse who is neither a Singapore Citizen nor a Singapore Permanent Resident (SPR), you may be eligible for schemes such as the CPF Housing Grant and Enhanced CPF Housing Grant (Singles).",https://chidnast.sirv.com/SchemesSG/hdb.jpg,https://www.hdb.gov.sg/residential/buying-a-flat/understanding-your-eligibility-and-housing-loan-options/flat-and-grant-eligibility/couples-and-families,"Transnational families,Foreign spouse",Financial assistance for housing,Housing,"buy hdb with foreign wife/husband, buy house, housing grant, hdb subsidy, bto",,,,
"Helpdesk, shelter, medical assistance and legal aid for migrant workers",Humanitarian Organization for Migration Economics,"1) Trained caseworkers and volunteers offer advice to workers unsure of their rights and options, and offers 2) a place of refuge and social support for all vulnerable domestic workers, 3) subsidised dental services and outpatient treatment for our shelter residents, and 4) free legal aid for workers in Singapore and continues to assist them on return to their country of origin",https://chidnast.sirv.com/SchemesSG/home.jpg,https://www.home.org.sg/what-we-do-index,Migrant workers/foreign workers,"Financial assistance for daily needs,Legal aid,Skills training for job,Housing,Food,Educational programmes,Casework,Referral,Educational programmes for caregivers",Migrant workers/foreign workers,"workplace accident, injured at work, employer abuse, migrant support group, no friends in singapore, bangladesh, india, myanmar, china, prc, malaysia, msia, burmese, construction worker, cleaner, no salary, no pay, worker sick, boss abuse, no food, no house",,,,
"Immediate Assistance, Pro-Social Support, Training & Upskilling",Industrial & Services Co-Operative Society Ltd (ISCOS),"Programmes and services are geared towards enhancing the skills level of inmates, connecting them with supportive employers etc. Provides 1) ""Gift of Hope"", a welcome package that includes necessities such as a transport card and grocery vouchers to reduce their financial burden, 2) immediate assistance such as the Yellow Ribbon Enabling Funds (YREF) and external referrals to our partner agencies to address issues such as shelter, subsidised healthcare and counselling, and 3) Project ReConnect to help ex-offenders with societal re-integration and digital upskilling.",https://chidnast.sirv.com/SchemesSG/iscos.jpg,https://iscos.org.sg/immediate-assistance/,"Ex-offenders,Inmates,Families of ex-offenders","Emotional care,Employment assistance,Befriender services,Vocational training","Employment,Family,Children,Ex-offender,Work,Education","ex-offender support group, children of ex-offenders, need job, ex-convict support group, ex-convict family",,,,
Enable IT Programme,Infocomm Media Development Authority (IMDA),The Enable IT Programme aims to build an inclusive society and enable Persons with Disabilities (PWDs) through adoption of Infocomm and Assistive Technologies (IT/AT) to enhance their abilities and skillsets required for independent living.,https://chidnast.sirv.com/SchemesSG/imda.jpg,https://www.imda.gov.sg/-/media/imda/files/news-and-events/media-room/media-releases/2021/11/annex-b---digital-enablement-programme.pdf,PWDs,Assistive technology assistance for PWDs,PWD,"Need tablet, mobile device. Physically disabled.",,,,
DigitalAccess@Home,Infocomm Media Development Authority (IMDA),"DigitalAccess@Home provides subsidised broadband and laptops/tablets to lower-income households with at least one Singapore Citizen to support their lifestyle needs, including work and social activities.",https://chidnast.sirv.com/SchemesSG/imda.jpg,https://www.imda.gov.sg/how-we-can-help/digital-access-at-home,Low income families,Broadband internet support,"Tech,Family","Need money for broadband, children need internet to study, cannot afford internet",,,,
iNSPIRE Fund,Infocomm Media Development Authority (IMDA),"The iNSPIRE Fund scheme offers financial assistance to full-time students (aged 25 and below) who are unable to co-pay for their PC-Bundle. Successful applicants will render between 3 to 12 hours of community service*, depending on the type of computer model selected, to receive a fully-paid desktop/laptop.",https://chidnast.sirv.com/SchemesSG/imda.jpg,https://www.imda.gov.sg/programme-listing/neu-pc-plus/inspire-fund,"Students,Low income families",Subsidy for computers,"Family,Low Income","Cannot afford to buy laptop, need laptop and computer for school",,,,
Mobile Access for Seniors,Infocomm Media Development Authority (IMDA),"Mobile Access for Seniors is a scheme that supports the Seniors Go Digital programme. It provides subsidised smartphone and mobile plan to lower-income seniors who want to go digital, but cannot afford them.",https://chidnast.sirv.com/SchemesSG/imda.jpg,https://www.imda.gov.sg/programme-listing/Mobile-Access-for-Seniors,"Low income,Elderly",Technology assistance for low income elderly,"Elderly,Tech","Elderly, computer",,,,
NEU PC Plus,Infocomm Media Development Authority (IMDA),"The NEU PC Plus programme supports low-income households with school-going children or persons with disabilities (“PWDs”) with broadband access and computer ownership. Eligible beneficiaries are provided a Personal Computer (“PC”) bundle comprising a subsidised PC and three years free broadband subscription, from $224.97 (inclusive of GST). Students who are unable to co-pay for the PC can be further supported through the iNSPIRE Fund",https://chidnast.sirv.com/SchemesSG/imda.jpg,https://eservice.imda.gov.sg/neupc,"Low income,Families",Computer for children from low-income households,"Tech,Education,Low Income","Children, disabled, schoolchildren, need computer for school, no money to buy laptop, computer, schooling supplies",,,,
