Scheme,Agency,Description,Image,Link,Who's it for,What it gives,Scheme Type,search_booster,phone,email,address,How to apply
Early Intervention Programme for Infants and Children – P (EIPIC-P),SG Enable,Subsidy scheme that offers more choices of early intervention programmes for children who have been referred for the Early Intervention Programme for Infants and Children (EIPIC). Parents who choose to enroll their children in selected Private Intervention Centres (PIC)s will receive subsidies that will help defray the enrolment costs.,https://chidnast.sirv.com/SchemesSG/sgenable.jpg,https://www.enablingguide.sg/im-looking-for-disability-support/therapy-intervention/early-intervention-programme-for-infants-and-children-p,Special needs children,Educational intervention for special needs children,"PWD,Childcare","Subsidy for special needs education, special needs intervention, autism, down's syndrome",,,,
Persons with Disabilities Concession Card,SG Enable,"Travel concession card for PWDs. Grants 25% discount or more off adult fares for all basic bus and train services fares, no additional fares for distances beyond 7.2km. Option to purchase a Hybrid Concession Pass (HCP) with unlimited rides on basic bus services and trains at $60 per month",https://chidnast.sirv.com/SchemesSG/sgenable.jpg,https://www.enablingguide.sg/im-looking-for-disability-support/transport/persons-with-disabilities-concession-card,PWDs,Transport assistance for PWDs,"PWD,Transport","Disabled, travelling, travel, transport, special needs",,,,
Taxi Subsidy Scheme,SG Enable,"Means-tested subsidy for taxi travel for the purpose of school, work or employment-related training supported by SG Enable",https://chidnast.sirv.com/SchemesSG/sgenable.jpg,https://www.enablingguide.sg/im-looking-for-disability-support/transport/taxi-subsidy-scheme,PWDs,Transport subsidy,"PWD,Transport","Disabled, travelling, travel, transport, special needs",,,,
VWO Transport Subsidy Scheme,SG Enable,"Up to 80% subsidy for transport fees supporting eligible SC/PRs with disabilities who need to use dedicated transport provided by the Social Service Agencies (SSAs) to access the Early Intervention Programme for Infants and Children (EIPIC), Special Education (SPED) schools, Day Activity Centres (DACs), Sheltered Workshops (SWs) and Special Student Care Centres (SSCCs).",https://chidnast.sirv.com/SchemesSG/sgenable.jpg,https://www.enablingguide.sg/im-looking-for-disability-support/transport/enabling-transport-subsidy,"Caregivers,PWDs",Transport subsidy for PWDs,"PWD,Transport","Disabled, travelling, travel, transport, special needs",,,,
Subsidized counselling and psychotherapy,Shan You Counselling Centre,"Subsidized face-to-face counselling and psychotherapy for individuals, couples and families.",https://chidnast.sirv.com/SchemesSG/shanyou.jpg,https://www.shanyou.org.sg/our-services/shan-youcounselling-centre/,"Individuals,Couples,Families","Counselling,Psychotherapy",Mental Health,"subsidized counselling, mental health issues, family problems, relationship issues",,,,
SHINE Children & Youth Services,SHINE Children & Youth Services,"SHINE servces vulnerable children, youth and their families in Singapore, enabling them to maximise their potential. Services include school social work, community social work, educational psychology services for those with learning difficulties and disabilities, and targeted interventions including home decluttering.",https://chidnast.sirv.com/SchemesSG/shine.jpg,https://www.shine.org.sg/,"Children,Youth,Youth with special needs","Youth services,Educational programmes,Mental healthcare,Decluttering","Youth,Children,Special Needs","my child has learning needs, my child has learning difficulties, my child has learning disabilities, hoarding",,,,
Financial Assistance and Food on the Table Program,Sikh Welfare Council,The objective of the Financial Assistance & Food on the Table Program is to provide support to Singaporean families in need for financial or other type of assistance.,https://chidnast.sirv.com/SchemesSG/siwec.jpg,https://www.siwec.org/our-services/family-support-services/financial-assistance-food-on-the-table,Low income families,Food,"Low Income,Food","financial, food ration, hungry, have not eaten for days, no food",,,,
Silver Ribbon,Silver Ribbon,"Provide basic counselling services at the branches below by appointment:
 1. H.O.L.A. - Hang On Life's Awesome
 Blk 208, Serangoon Central #01-238 S(550208) (Tel: 6386 1928)
 2. The Linkage
 Wisma Geylang Serai, 1 Engku Aman Turn Level 4 S(408528) (Tel: 6509 0271)
 3. Raintree Sanctuary
 Blk 550, Hougang Street 51 #01-168 S(530550) (Tel: 6385 3714)",https://timinone.sirv.com/Shared/SchemesSG-from-chidnast/SilverRibbon.jpg,https://www.silverribbonsingapore.com/counselling.html,Mental Health,"Counselling,Emotional Care,Mental healthcare",Mental Health,"I need help, I am very stressed, I need someone to talk too, Cannot sleep, Very worried, depressed, need help, Going crazy",,,,
Befriending Support,Singapore After-Care Association (SACA),"Through one-to-one befriending, clients will be paired up with a volunteer who will journey with them during the aftercare phase of reintegration. This includes discussing release plans, identifying main problem areas to work upon his/her release and providing support to address any issues affecting rehabilitation.",https://chidnast.sirv.com/SchemesSG/saca.jpg,https://www.saca.org.sg/befriending,"Ex-offenders,Families of ex-offenders","Counselling,Emotional support,Job referral",Ex-offender,"free tuition, children of ex-offender, children of ex-convict, bonding activities, support group, befriender",,,,
Case Management Programme,Singapore After-Care Association (SACA),"SACA provides holistic support to ex-offenders that addresses lack of knowledge on upgrading opportunities, lack of family support and guidance, as well as financial constraints.",https://chidnast.sirv.com/SchemesSG/saca.jpg,https://www.saca.org.sg/case-management,Ex-offenders,"Casework,counselling","Family,Children,Ex-offender,Low Income,Education","free tuition, children of ex-offender, children of ex-convict, counselling for ex-convict, yellow ribbon",,,,
Education Support Programmes,Singapore After-Care Association (SACA),Educational programmes to assist ex-offenders who are keen on furthering their education to achieve their goals,https://chidnast.sirv.com/SchemesSG/saca.jpg,https://www.saca.org.sg/education-upskilling,Ex-offenders,"Financial assistance,Vocational training,Employment assistance,Counselling,Befriender services","Family,Children,Ex-offender,Low Income,Education","ex-offender want to study, ex-convict want to study",,,,
Residential Rehabilitation Services (Simei/ Hougang),Singapore Anglican Community Services,Singapore Anglican Community Services provides short and medium term residential care for persons with mental health issues (PMHI) in a therapeutic environment to support their recovery process. Personalised rehabilitation programmes are designed to help them develop independent living skills. They are encouraged to practise self-care by maintaining personal hygiene and doing their own chores. Shared amenities and communal spaces are also in place for clients to allow for social engagement and build their confidence for reintegration into the community.,https://timinone.sirv.com/Shared/SchemesSG-from-chidnast/sacs.jpg,https://sacs.org.sg/psychiatric-services/residential-rehabilitation-services.html,"Mental Health,Caregiver,Special needs,Persons with mental health issues","Residential Care,Mental health/mental health support","Mental health,Residential care","Psychiatric home, mental health patients, need a place for mentally ill to stay, need help to take care of mentally ill",,,,
Day Rehabilitation Services (Simei/Hougang),Singapore Anglican Community Services,"By adopting the adapted Clubhouse Model, Day Rehabilitation Services facilitate persons with mental health issues (PMHI) in achieving rehabilitation goals and recovery through different work units according to the members’ interest and preference. Practical life skills training, such as Wellness and Recovery Action Plans (WRAP), helps to empower them to sustain their recovery in the community. Social and recreational activities are organised to strengthen their ability to integrate into the community.",https://timinone.sirv.com/Shared/SchemesSG-from-chidnast/sacs.jpg,https://sacs.org.sg/psychiatric-services/day-rehabilitation-services.html,"Mental Health,Special needs,Persons with mental health issues","Skills training for job,Employment assistance,Mental health/mental health support","Mental health,Rehabilitation,Day centre","Psychiatric day centre, rehabilitation, work training, employment training, skills training for mental problems",,,,
Psychiatric Sheltered Home (Farrer Park),Singapore Anglican Community Services,The centre is an integral part of SACS continuum of care for persons with mental health issues who need temporary accommodation and can live independently with some form of gainful employment. It has a capacity to serve 60 adults and 20 youths. Counselling and case management support are offered to strengthen clients’ independence so that they can better reintegrate into the community.,https://timinone.sirv.com/Shared/SchemesSG-from-chidnast/sacs.jpg,https://sacs.org.sg/psychiatric-services/psychiatric-sheltered-home.html,"Mental Health,Special needs,Persons with mental health issues","Housing,Skills training for job,Employment assistance","Mental health,Psychiatric sheltered home,Housing","Psychiatric home, temporary shelter, temporary housing, employment support, learn skills to get job",,,,
