,Scheme,Description,Agency,Image,Link,Who It's For,What It Gives,Scheme Type
2563,Pre-School Bursary,SINDAís pre-school bursary helps Indian children from low-income families with costs relating to pre-school education. Children must be aged seven years old and below and must already be receiving additional subsidy from Early Childhood Development Agency (ECDA) before applying for the Bursary. This Bursary is especially helpful to parents who are keen to enroll their children in an ECDA-Registered Childcare Centre.,Singapore Indian Development Association (SINDA),https://chidnast.sirv.com/SchemesSG/sinda.jpg,https://www.sinda.org.sg/financial_assistance/pre-school-bursary/,Indian community,Financial assistance,Childcare
2564,Pre-School Bursary,SINDAís pre-school bursary helps Indian children from low-income families with costs relating to pre-school education. Children must be aged seven years old and below and must already be receiving additional subsidy from Early Childhood Development Agency (ECDA) before applying for the Bursary. This Bursary is especially helpful to parents who are keen to enroll their children in an ECDA-Registered Childcare Centre.,Singapore Indian Development Association (SINDA),https://chidnast.sirv.com/SchemesSG/sinda.jpg,https://www.sinda.org.sg/financial_assistance/pre-school-bursary/,Children from low income families,Financial assistance,Education
2565,Pre-School Bursary,SINDAís pre-school bursary helps Indian children from low-income families with costs relating to pre-school education. Children must be aged seven years old and below and must already be receiving additional subsidy from Early Childhood Development Agency (ECDA) before applying for the Bursary. This Bursary is especially helpful to parents who are keen to enroll their children in an ECDA-Registered Childcare Centre.,Singapore Indian Development Association (SINDA),https://chidnast.sirv.com/SchemesSG/sinda.jpg,https://www.sinda.org.sg/financial_assistance/pre-school-bursary/,Children from low income families,Financial assistance,Childcare
2566,Pre-School Bursary,SINDAís pre-school bursary helps Indian children from low-income families with costs relating to pre-school education. Children must be aged seven years old and below and must already be receiving additional subsidy from Early Childhood Development Agency (ECDA) before applying for the Bursary. This Bursary is especially helpful to parents who are keen to enroll their children in an ECDA-Registered Childcare Centre.,Singapore Indian Development Association (SINDA),https://chidnast.sirv.com/SchemesSG/sinda.jpg,https://www.sinda.org.sg/financial_assistance/pre-school-bursary/,Low income families,Financial assistance,Education
2567,Pre-School Bursary,SINDAís pre-school bursary helps Indian children from low-income families with costs relating to pre-school education. Children must be aged seven years old and below and must already be receiving additional subsidy from Early Childhood Development Agency (ECDA) before applying for the Bursary. This Bursary is especially helpful to parents who are keen to enroll their children in an ECDA-Registered Childcare Centre.,Singapore Indian Development Association (SINDA),https://chidnast.sirv.com/SchemesSG/sinda.jpg,https://www.sinda.org.sg/financial_assistance/pre-school-bursary/,Low income families,Financial assistance,Childcare
2568,SINDA Bursary,SINDA Bursary supports low-income and deserving families with education-related financial assistance. We ensure that all families seeking assistance are assessed and eligible families are linked with the respective SINDAís programmes and schemes.,Singapore Indian Development Association (SINDA),https://chidnast.sirv.com/SchemesSG/sinda.jpg,https://www.sinda.org.sg/financial_assistance/sinda-bursary/,Indian community,Financial assistance,Education
2569,SINDA Bursary,SINDA Bursary supports low-income and deserving families with education-related financial assistance. We ensure that all families seeking assistance are assessed and eligible families are linked with the respective SINDAís programmes and schemes.,Singapore Indian Development Association (SINDA),https://chidnast.sirv.com/SchemesSG/sinda.jpg,https://www.sinda.org.sg/financial_assistance/sinda-bursary/,Children from low income families,Financial assistance,Education
2570,SINDA Bursary,SINDA Bursary supports low-income and deserving families with education-related financial assistance. We ensure that all families seeking assistance are assessed and eligible families are linked with the respective SINDAís programmes and schemes.,Singapore Indian Development Association (SINDA),https://chidnast.sirv.com/SchemesSG/sinda.jpg,https://www.sinda.org.sg/financial_assistance/sinda-bursary/,Low income families,Financial assistance,Education
2571,The STF Hardship Assistance Scheme,The STF Hardship Assistance Scheme aims to assist Singaporean families when they lose the support of their sole or main breadwinner due to unforeseen circumstances. They provide short-term supplementary financial assistance for the family to regain their footing in life.,Singapore Teochew Foundation,https://chidnast.sirv.com/SchemesSG/stf.jpg,http://singaporeteochewfoundation.com.sg/,Loss of breadwinner,Financial assistance for families who have lost breadwinner,Low Income
2572,The STF Hardship Assistance Scheme,The STF Hardship Assistance Scheme aims to assist Singaporean families when they lose the support of their sole or main breadwinner due to unforeseen circumstances. They provide short-term supplementary financial assistance for the family to regain their footing in life.,Singapore Teochew Foundation,https://chidnast.sirv.com/SchemesSG/stf.jpg,http://singaporeteochewfoundation.com.sg/,Loss of breadwinner,Financial assistance for families who have lost breadwinner,Family
2573,COVID 19 related support,Key government resource on COVID-19 related assistance.,Support Go Where,https://chidnast.sirv.com/SchemesSG/supportgowhere.jpg,https://www.supportgowhere.gov.sg/schemes/?lang=english,In need of support from COVID-19,COVID-19 support,COVID-19
2574,Tabung Amal Aidifitri Trust Fund,"TAA Trust Fund (Tabung Amal Aidilfitri Trust Fund) was founded in 1992 with a mission to help the poor, needy and the less fortunate. Additionally, TAA beneficiaries include patients from low-income families who suffer from chronic diseases and illnesses such as kidney failure, stroke, cancer and diabetes.",Tabung Amal Aidilfitri Trust Fund,https://chidnast.sirv.com/SchemesSG/taa.jpg,http://www.taa.org.sg/subpage.asp?id=A048_09,Kidney patients,Financial assistance for healthcare,Low Income
2575,Tabung Amal Aidifitri Trust Fund,"TAA Trust Fund (Tabung Amal Aidilfitri Trust Fund) was founded in 1992 with a mission to help the poor, needy and the less fortunate. Additionally, TAA beneficiaries include patients from low-income families who suffer from chronic diseases and illnesses such as kidney failure, stroke, cancer and diabetes.",Tabung Amal Aidilfitri Trust Fund,https://chidnast.sirv.com/SchemesSG/taa.jpg,http://www.taa.org.sg/subpage.asp?id=A048_09,Kidney patients,Financial assistance for healthcare,Healthcare
