Scheme,Description,Agency,Image,Link,Who's it for,What it gives,Scheme Type,search_booster(WL)
Silver Housing Bonus,"If you are selling your current flat or private housing with Annual Value not exceeding $13,000 and buying a 3-room or smaller flat, you can supplement your retirement income through the Silver Housing Bonus (SHB) scheme.Up to $30,000 cash bonus when you top-up your proceeds into your CPF Retirement Account (RA), and join CPF LIFE.",Housing and Development Board (HDB),https://chidnast.sirv.com/SchemesSG/hdb.jpg,https://www.hdb.gov.sg/residential/living-in-an-hdb-flat/for-our-seniors/monetising-your-flat-for-retirement/silver-housing-bonus,Elderly,Monetising flat for retirement income,"Housing,Elderly","Retirement, reverse mortgage, old age"
Staggered Downpayment Scheme,"You may be able to use the Staggered Downpayment Scheme to pay your downpayment in 2 instalments. Half of the downpayment is paid when you sign the Agreement for Lease, which is usually within 4 months of booking a flat. The remaining amount is paid during the key collection for your new flat.",Housing and Development Board (HDB),https://chidnast.sirv.com/SchemesSG/hdb.jpg,https://www.hdb.gov.sg/residential/buying-a-flat/buying-procedure-for-new-flats/sign-agreement-for-lease,In need of mortgage support,Mortgage assistance,Housing,"Mortgage, cannot afford house, debt"
Temporary Loan Scheme,"The Temporary Loan Scheme (TLS) helps flat buyers who intend to use the sale proceeds from their existing flat to pay for their new flat, without taking a long-term mortgage loan.",Housing and Development Board (HDB),https://chidnast.sirv.com/SchemesSG/hdb.jpg,https://www.hdb.gov.sg/residential/buying-a-flat/buying-procedure-for-new-flats/key-collection,In need of mortgage support,Mortgage assistance,Housing,"Mortgage, cannot afford house, debt"
Enhancement for Active Seniors (EASE),"The EASE programme subsidises items installed in your flat to improve mobility and safety within the flat. It is offered as part of the Home Improvement Programme (HIP). 
If your block does not qualify for HIP or if you wish to install the improvement items earlier instead of waiting for HIP, you may apply under EASE (Direct Application).",Housing and Development Board (HDB),https://chidnast.sirv.com/SchemesSG/hdb.jpg,https://www.hdb.gov.sg/residential/living-in-an-hdb-flat/for-our-seniors/ease,Elderly,Retrofitting of flats to improve mobility for elderly,"Housing,Elderly","Disabled, elderly, home, renovation, retrofitting, accessibility"
CPF Housing Grants for Resale Flats,"Under the CPF Housing Grant Scheme, you may be eligible to receive a housing subsidy of up to $80,000 to help with the purchase of a resale flat.","Housing and Development Board (HDB), Central Provident Fund (CPF)",https://chidnast.sirv.com/SchemesSG/hdb-cpf.jpg,https://www.hdb.gov.sg/residential/buying-a-flat/understanding-your-eligibility-and-housing-loan-options/flat-and-grant-eligibility/couples-and-families/cpf-housing-grants-for-resale-flats-families,In need of mortgage support,Mortgage assistance,Housing,"HDB grants, HDB flat, home owner, BTO, mortgage"
CPF Housing Grants for Executive Condominiums (ECs),"Under the CPF Housing Grant Scheme, you may be eligible to receive a housing subsidy of up to $30,000 when you buy an Executive Condominium (EC) unit from a property developer.","Housing and Development Board (HDB), Central Provident Fund (CPF)",https://chidnast.sirv.com/SchemesSG/hdb-cpf.jpg,https://www.hdb.gov.sg/residential/buying-a-flat/executive-condominium/cpf-housing-grants,In need of mortgage support,Mortgage assistance,Housing,"HDB grants, condo, condominium, mortgage"
CPF Housing Grants for HDB Flats,"On top of the subsidised purchase prices for new HDB flats, eligible buyers can also receive further subsidies in the form of CPF Housing Grants of up to $80,000.","Housing and Development Board (HDB), Central Provident Fund (CPF)",https://chidnast.sirv.com/SchemesSG/hdb-cpf.jpg,https://www.hdb.gov.sg/cs/infoweb/residential/buying-a-flat/new/schemes-and-grants/cpf-housing-grants-for-hdb-flats,In need of mortgage support,Mortgage assistance,Housing,"HDB grants, HDB flat, home owner, BTO, mortgage"
Non-Citizen Spouse Scheme,"If you are a citizen with a spouse who is neither a Singapore Citizen nor a Singapore Permanent Resident (SPR), you may be eligible for schemes such as the CPF Housing Grant and Enhanced CPF Housing Grant (Singles).",Housing Development Board (HDB),https://chidnast.sirv.com/SchemesSG/hdb.jpg,https://www.hdb.gov.sg/residential/buying-a-flat/understanding-your-eligibility-and-housing-loan-options/flat-and-grant-eligibility/couples-and-families,"Transnational families,Foreign spouse",Financial assistance for housing,Housing,"buy hdb with foreign wife/husband, buy house, housing grant, hdb subsidy, bto"
"Helpdesk, shelter, medical assistance and legal aid for migrant workers","1) Trained caseworkers and volunteers offer advice to workers unsure of their rights and options, and offers 2) a place of refuge and social support for all vulnerable domestic workers, 3) subsidised dental services and outpatient treatment for our shelter residents, and 4) free legal aid for workers in Singapore and continues to assist them on return to their country of origin",Humanitarian Organization for Migration Economics,https://chidnast.sirv.com/SchemesSG/home.jpg,https://www.home.org.sg/what-we-do-index,Migrant workers/foreign workers,"Financial assistance for daily needs,Legal aid,Skills training for job,Housing,Food,Educational programmes,Casework,Referral,Educational programmes for caregivers",Migrant workers/foreign workers,"workplace accident, injured at work, employer abuse, migrant support group, no friends in singapore, bangladesh, india, myanmar, china, prc, malaysia, msia, burmese, construction worker, cleaner, no salary, no pay, worker sick, boss abuse, no food, no house"
"Immediate Assistance, Pro-Social Support, Training & Upskilling","Programmes and services are geared towards enhancing the skills level of inmates, connecting them with supportive employers etc. Provides 1) ""Gift of Hope"", a welcome package that includes necessities such as a transport card and grocery vouchers to reduce their financial burden, 2) immediate assistance such as the Yellow Ribbon Enabling Funds (YREF) and external referrals to our partner agencies to address issues such as shelter, subsidised healthcare and counselling, and 3) Project ReConnect to help ex-offenders with societal re-integration and digital upskilling.",Industrial & Services Co-Operative Society Ltd (ISCOS),https://chidnast.sirv.com/SchemesSG/iscos.jpg,https://iscos.org.sg/immediate-assistance/,"Ex-offenders,Inmates,Families of ex-offenders","Emotional care,Employment assistance,Befriender services,Vocational training","Employment,Family,Children,Ex-offender,Work,Education","ex-offender support group, children of ex-offenders, need job, ex-convict support group, ex-convict family"
